Marca,Modelo,Descripción,Tensión Nominal (V),Potencia Nominal (W),Clase de eficiencia energética,Capacidad Nominal (l),Energía Mensual (kWh),Tiempo de Calentamiento (hs:min),Presion Nominal (MPa),Temperatura Media del Agua Extraida (ºC),Empresa,Nro. Aprobación
Rheem,EXPOTEPC155UR,Calentador electrico de acumulacion,230,1840,B,155,"307,4",3:37,"0,6",49,Barraca Europa S.A.,EE-CAE-000096
Rheem,EXPOTEPC125UR,Calentador electrico de acumulacion,230,1840,B,125,"264,5",3:58,"0,6","61,3",Barraca Europa S.A.,EE-CAE-000096
Rheem,EXPOTECC085UR,Calentador electrico de acumulacion,230,1840,B,85,"173,4",2:15,"0,6","54,8",Barraca Europa S.A.,EE-CAE-000096
Rheem,EXPOTECC055UR,Calentador electrico de acumulacion,230,1840,B,55,"120,5",1:20,"0,6",53,Barraca Europa S.A.,EE-CAE-000096
Rheem,EXPOTECC125UR,Calentador electrico de acumulacion,230,1840,A,125,"243,9",3:33,"0,6","57,9",Barraca Europa S.A.,EE-CAE-000096
UNIVERSAL,Galaxia40,Calentadores de agua,230,1500,B,40,"83,74",1:20,"0,8","52,7",Barraca Europa S.A.,EE-CAE-000095
HYUNDAI,HYGX40,Calentadores de agua,230,1500,B,40,"83,74",1:20,"0,8","52,7",Barraca Europa S.A.,EE-CAE-000094
UNIVERSAL,Galaxia50,Calentadores de agua,230,1500,A,47,"92,75",1:36,"0,8","56,7",Barraca Europa S.A.,EE-CAE-000093
HYUNDAI,HYGX50,Calentadores de agua,230,1500,A,47,"92,75",1:36,"0,8","56,7",Barraca Europa S.A.,EE-CAE-000092
UNIVERSAL,Tempo30,Calentadores de agua,230,1500,B,28,"58,33",0:53,"0,8","57,1",Barraca Europa S.A.,EE-CAE-000091
HYUNDAI,HYQUA30,Calentadores de agua,230,1500,B,28,"58,33",0:53,"0,8","57,1",Barraca Europa S.A.,EE-CAE-000090
UNIVERSAL,Galaxia60,Calentadores de agua,230,1500,A,60,"117,51",1:52,"0,8","51,3",Barraca Europa S.A.,EE-CAE-000089
HYUNDAI,HYGX60,Calentadores de agua,230,1500,A,60,"117,51",1:52,"0,8","51,3",Barraca Europa S.A.,EE-CAE-000088
HYUNDAI,HYGX100,Calentadores de agua,230,2000,A,96,"181,81",2:27,"0,8","57,2",Barraca Europa S.A.,EE-CAE-000087
BEUSA,BEGX100,Calentadores de agua,230,2000,A,96,"181,81",2:27,"0,8","57,2",Barraca Europa S.A.,EE-CAE-000086
UNIVERSAL,Galaxia 100,Calentadores de agua,230,2000,A,96,"181,81",2:27,"0,8","57,2",Barraca Europa S.A.,EE-CAE-000085
BEUSA,BEGX40,Calentadores de agua,230,1500,B,40,"83,74",1:20,"0,8","52,7",Barraca Europa S.A.,EE-CAE-000084
BEUSA,BEQUA30,Calentadores de agua,230,1500,B,28,"58,33",0:53,"0,8","57,1",Barraca Europa S.A.,EE-CAE-000083
BEUSA,BEGX50,Calentadores de agua,230,1500,A,47,"92,75",1:36,"0,8","56,7",Barraca Europa S.A.,EE-CAE-000082
BEUSA,BEGX60,Calentadores de agua,230,1500,A,60,"117,51",1:52,"0,8","51,3",Barraca Europa S.A.,EE-CAE-000081
UNIVERSAL,Galaxia80,Calentadores de agua,230,1800,A,75,"143,58",2:01,"0,8","55,9",Barraca Europa S.A.,EE-CAE-000080
HYUNDAI,HYGX80,Calentadores de agua,230,1800,A,75,"143,58",2:01,"0,8","55,9",Barraca Europa S.A.,EE-CAE-000079
BEUSA,BEGX80,Calentadores de agua,230,1800,A,75,"143,58",2:01,"0,8","55,9",Barraca Europa S.A.,EE-CAE-000078
UNIVERSAL,GALAXIA120,Calentadores de agua,230,2000,A,115,"211,97","2,56","0,8","59,4",Barraca Europa S.A.,EE-CAE-000077
HYUNDAI,HYGX120,Calentadores de agua,230,2000,A,115,"211,97","2,56","0,8","59,4",Barraca Europa S.A.,EE-CAE-000076
BEUSA,BEGX120,Calentadores de agua,230,2000,A,115,"211,97","2,56","0,8","59,4",Barraca Europa S.A.,EE-CAE-000075
ARISTON,PRO ECO 50 V 1.8 KPL,calentador electrico de acumulacion,230,1800,B,49,"99,4",1:20,"0,8","54,7",RIDEL S.A,EE-CAE-000074
Candy,TR100,Termotanque,230,2000,A,92,"191,8",2:29,"0,8","50,9",Nobelcar SA,EE-CAE-000073
ARISTON,TI SHAPE 30 ORD,calentado de agua de acumulación,230,2000,B,30,63,0:42,"0,8",58,RIDEL S.A,EE-CAE-000072
ARISTON,TI SHAPE 15 ORD,calentdor de agua de acumulación,220,2000,D,15,"41,5",0:21,"0,8","54,7",RIDEL S.A,EE-CAE-000071
Atlantic,VM 100 D400-1-M,Calentadores de agua de acumulación,230,1500,A,95,"180,31",3:11,"0,8","58,5",GELBRING S.A.,EE-CAE-000070
Atlantic,VM 080 D400-1-M,Calentadores de agua de acumulación,230,1500,A,75,"140,32",2:40,"0,8","56,1",GELBRING S.A.,EE-CAE-000070
Atlantic,VM 050 D400-1-M,Calentadores de agua de acumulación,230,1500,A,47,"90,13",1:34,"0,8","55,2",GELBRING S.A.,EE-CAE-000070
Atlantic,VM 040 D400-1-M,Calentadores de agua de acumulación,230,1200,A,36,"71,36",1:21,"0,8",54,GELBRING S.A.,EE-CAE-000070
Atlantic,VM 030 D400-1-M,Calentadores de agua de acumulación,230,1200,B,28,"55,29",1:03,"0,8","47,3",GELBRING S.A.,EE-CAE-000070
Rheem,EXPOTEPC155UR,Calentador electrico de acumulacion,230,1840,B,155,"307,4",3:37,"0,6",49,FRIMEL S.A.,EE-CAE-000069
Rheem,EXPOTEPC125UR,Calentador electrico de acumulacion,230,1840,B,125,"264,5",3:58,"0,6","61,3",FRIMEL S.A.,EE-CAE-000069
Rheem,EXPOTECC085UR,Calentador electrico de acumulacion,230,1840,B,85,"173,4",2:15,"0,6","54,8",FRIMEL S.A.,EE-CAE-000069
